Given args
Namespace(coco_annotations='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data/coco_meta.json', coco_root='/hpi/fs00/share/fg-rabl/strassenburg/datasets/cutsom-coco-data', deterministic=True, model='resnet50', num_epochs=50)
Pytorch Environment info
SystemEnv(torch_version='1.7.1', is_debug_build='False', cuda_compiled_version='11.0', gcc_version='(Ubuntu 9.3.0-17ubuntu1~20.04) 9.3.0', clang_version=None, cmake_version='version 3.19.3', os='Ubuntu 20.04.1 LTS (x86_64)', python_version='3.8 (64-bit runtime)', is_cuda_available='True', cuda_runtime_version=None, nvidia_driver_version='450.80.02', nvidia_gpu_models='GPU 0: A100-SXM4-40GB\nGPU 1: A100-SXM4-40GB\nGPU 2: A100-SXM4-40GB\nGPU 3: A100-SXM4-40GB\nGPU 4: A100-SXM4-40GB\nGPU 5: A100-SXM4-40GB\nGPU 6: A100-SXM4-40GB\nGPU 7: A100-SXM4-40GB', cudnn_version=None, pip_version='pip3', pip_packages='numpy==1.19.5\ntorch==1.7.1\ntorchaudio==0.7.0a0+a853dff\ntorchvision==0.8.2', conda_packages='_pytorch_select           0.1                       cpu_0  \nblas                      1.0                         mkl  \ncudatoolkit               11.0.221             h6bb024c_0  \nlibmklml                  2019.0.5                      0  \nmkl                       2020.2                      256  \nmkl-service               2.3.0            py38he904b0f_0  \nmkl_fft                   1.3.0            py38h54f3939_0  \nmkl_random                1.1.1            py38h0573a6f_0  \nnumpy                     1.19.5                   pypi_0    pypi\nnumpy-base                1.19.2           py38hfa32c7d_0  \npytorch                   1.7.1           py3.8_cuda11.0.221_cudnn8.0.5_0    pytorch\ntorchaudio                0.7.2                      py38    pytorch\ntorchvision               0.8.2                py38_cu110    pytorch', hip_compiled_version='N/A', hip_runtime_version='N/A', miopen_runtime_version='N/A')
Use mmlib set_deterministic()
STOP;forward_path;epoch-0;batch-17;time.time_ns-1623246704067200495
START;backward_path;epoch-0;batch-17;time.time_ns-1623246704067204473
STOP;backward_path;epoch-0;batch-17;time.time_ns-1623246704132231719
START;load_data;epoch-0;batch-18;time.time_ns-1623246704132237260
STOP;batch-time;epoch-0;batch-17;time.time_ns-1623246704132238672
START;batch-time;epoch-0;batch-18;time.time_ns-1623246704132239805
STOP;load_data;epoch-0;batch-18;time.time_ns-1623246704604750819
START;to_device;epoch-0;batch-18;time.time_ns-1623246704604766239
STOP;to_device;epoch-0;batch-18;time.time_ns-1623246704608390165
START;forward_path;epoch-0;batch-18;time.time_ns-1623246704608392790
STOP;forward_path;epoch-0;batch-18;time.time_ns-1623246704633333921
START;backward_path;epoch-0;batch-18;time.time_ns-1623246704633337758
STOP;backward_path;epoch-0;batch-18;time.time_ns-1623246704696366593
START;load_data;epoch-0;batch-19;time.time_ns-1623246704696371903
STOP;batch-time;epoch-0;batch-18;time.time_ns-1623246704696373286
START;batch-time;epoch-0;batch-19;time.time_ns-1623246704696374378
STOP;load_data;epoch-0;batch-19;time.time_ns-1623246705222538609
START;to_device;epoch-0;batch-19;time.time_ns-1623246705222551783
STOP;to_device;epoch-0;batch-19;time.time_ns-1623246705224843730
START;forward_path;epoch-0;batch-19;time.time_ns-1623246705224846104
STOP;forward_path;epoch-0;batch-19;time.time_ns-1623246705247593274
START;backward_path;epoch-0;batch-19;time.time_ns-1623246705247596991
STOP;backward_path;epoch-0;batch-19;time.time_ns-1623246705313034844
START;load_data;epoch-0;batch-20;time.time_ns-1623246705313040655
STOP;batch-time;epoch-0;batch-19;time.time_ns-1623246705313042068
START;batch-time;epoch-0;batch-20;time.time_ns-1623246705313043180
STOP;load_data;epoch-0;batch-20;time.time_ns-1623246705794041964
START;to_device;epoch-0;batch-20;time.time_ns-1623246705794054618
STOP;to_device;epoch-0;batch-20;time.time_ns-1623246705797568116
START;forward_path;epoch-0;batch-20;time.time_ns-1623246705797570580
STOP;forward_path;epoch-0;batch-20;time.time_ns-1623246705820517127
START;backward_path;epoch-0;batch-20;time.time_ns-1623246705820521325
STOP;backward_path;epoch-0;batch-20;time.time_ns-1623246705885552098
START;load_data;epoch-0;batch-21;time.time_ns-1623246705885557689
STOP;batch-time;epoch-0;batch-20;time.time_ns-1623246705885558921
START;batch-time;epoch-0;batch-21;time.time_ns-1623246705885559983
STOP;load_data;epoch-0;batch-21;time.time_ns-1623246706357270934
START;to_device;epoch-0;batch-21;time.time_ns-1623246706357283257
STOP;to_device;epoch-0;batch-21;time.time_ns-1623246706360702236
START;forward_path;epoch-0;batch-21;time.time_ns-1623246706360704661
STOP;forward_path;epoch-0;batch-21;time.time_ns-1623246706383069206
START;backward_path;epoch-0;batch-21;time.time_ns-1623246706383178112
STOP;backward_path;epoch-0;batch-21;time.time_ns-1623246706448646724
START;load_data;epoch-0;batch-22;time.time_ns-1623246706448652244
STOP;batch-time;epoch-0;batch-21;time.time_ns-1623246706448653677
START;batch-time;epoch-0;batch-22;time.time_ns-1623246706448654779
STOP;load_data;epoch-0;batch-22;time.time_ns-1623246706936312763
START;to_device;epoch-0;batch-22;time.time_ns-1623246706936327070
STOP;to_device;epoch-0;batch-22;time.time_ns-1623246706939782868
START;forward_path;epoch-0;batch-22;time.time_ns-1623246706939785383
STOP;forward_path;epoch-0;batch-22;time.time_ns-1623246706962376277
START;backward_path;epoch-0;batch-22;time.time_ns-1623246706962380204
STOP;backward_path;epoch-0;batch-22;time.time_ns-1623246707028418714
START;load_data;epoch-0;batch-23;time.time_ns-1623246707028424215
STOP;batch-time;epoch-0;batch-22;time.time_ns-1623246707028425607
START;batch-time;epoch-0;batch-23;time.time_ns-1623246707028427370
STOP;load_data;epoch-0;batch-23;time.time_ns-1623246707501967312
START;to_device;epoch-0;batch-23;time.time_ns-1623246707501980277
STOP;to_device;epoch-0;batch-23;time.time_ns-1623246707504259810
